input file for CPIfromDF
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,10.49, unit cell mass,107.86
Amplitue	Gamma(eV)	Omega(eV) 
0.0054600	1.3800	2.1700
-0.11100	3.9360	3.4740
0.054000	0.15900	3.8170
0.0027100	0.28800	4.2300
0.034800	1.5510	4.7300
0.17500	3.7890	7.8940
0.00020900	0.043000	8.0030
0.019500	0.96500	8.0050
0.0073100	2.8170	11.053
-0.0028100	1.9600	13.858
0.029500	5.0740	17.376
-0.013300	2.8550	21.639
0.0019500	1.7090	23.680
0.076800	7.8950	25.747
-0.0018200	2.8940	30.809
0.015700	4.3710	34.834
-0.00054200	2.9230	41.839
0.00033800	1.6810	43.959
-0.00018100	1.2970	46.023
0.78300	60.756	48.256
0.0014100	3.6430	48.988
-0.00057400	2.4210	52.347
0.011100	7.7570	56.587
0.011600	8.5840	69.480
0.089100	31.643	80.973
-0.035000	36.621	108.64
0.0041500	14.622	109.93
-0.011800	55.936	138.77
0.00080300	27.252	144.72
-0.0014100	81.602	194.98
-0.00053800	73.999	317.01
-0.00052600	30.778	348.31
0.00072800	34.063	372.82
0.00024100	29.963	398.51
0.0018100	94.574	420.40
0.00025300	72.396	466.42
0.0038600	379.46	542.69
0.00012300	326.52	897.10
5.9800e-05	313.38	1247.4
-3.3100e-06	705.81	3093.2
-2.0100e-06	282.37	3469.7
3.4000e-06	536.60	3623.4
1.4400e-05	1318.5	4057.1
7.7800e-06	3798.5	5699.9
