input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,3.95, unit cell mass,101.96
Amplitue	Gamma(eV)	Omega(eV)
1.03E-01	0.009	0.108
2.04E-01	0.012	0.117
1.60E-02	0.014	0.118
-5.22E-02	1.184	0.133
1.20E-01	10.188	9.161
-1.00E-01	2.785	9.202
9.74E-02	2.703	9.316
-1.18E-01	10.468	9.408
-1.32E-01	11.076	9.873
1.19E-01	10.947	10.151
-5.02E-02	7.038	13.984
-2.33E-01	16.613	14.42
5.59E-02	6.943	14.519
1.08E-01	10.319	16.806
-1.99E-02	7.547	18.006
1.59E-02	4.457	18.827
-1.09E-01	9.04	19.889
-1.89E-01	9.06	22.857
1.39E-01	11.265	24.11
1.72E-01	4.809	25.073
4.60E-01	18.062	28.535
1.00E-01	28.916	43.878
3.00E-01	59.963	49.779
-4.59E-02	7.159	79.4
9.00E-02	4.98	80.195
-4.65E-02	4.084	80.473
-9.31E-03	115.451	87.094
3.36E-02	79.146	97.09
1.15E-01	70.379	106.461
-2.98E-02	33.953	116.759
-2.25E-02	59.588	139.255
