input file for CPIfromDF
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,2.7, unit cell mass,27.0
Amplitue	Gamma(eV)	Omega(eV) 
0.0029300 	0.94000	0.81300
-0.0049900 	1.1920	0.94500
0.00093704 	0.31500	1.5220
-0.030990 	11.216	11.174
-0.025350 	3.7370	12.191
-0.085070 	2.6510	14.065
-0.19909 	0.82500	14.745
0.015960 	0.17300	14.995
1.1511 	0.64200	15.055
0.12396 	3.9900	15.326
-0.038390 	0.41700	15.387
0.052120 	22.135	20.702
-0.0056400 	24.562	67.325
-0.00041357 	5.2660	68.585
0.00033784 	1.7830	71.508
-0.0018100 	3.3220	71.979
3.6220e-05 	0.16100	72.834
0.00041096 	1.1300	73.351
0.00022000 	1.7450	74.411
0.0027500 	9.3370	76.052
0.00021698 	7.9370	84.213
-0.00018965 	5.8820	89.100
0.00038323 	5.9110	95.478
0.020810 	36.751	97.488
-0.0013200 	9.6280	103.92
0.0044200 	30.606	124.59
0.0011100 	28.163	156.61
0.015310 	191.59	183.76
-0.00015698 	163.01	332.62
-8.7346e-05 	608.09	598.77
-2.8239e-05 	1076.8	1084.6
4.7870e-07 	119.50	1355.4
-1.0556e-05 	366.93	1425.4
-3.7998e-06 	107.12	1535.3
2.4184e-06 	58.001	1600.4
7.7090e-07 	71.450	1656.6
1.8476e-05 	439.73	1690.4
1.9606e-05 	1166.7	2009.1
2.8392e-06 	2010.9	2820.2
1.7610e-07 	2772.2	4134.3
-8.2930e-07 	11298	4437.9
4.0000e-10 	3.0270	10848
-9.0000e-10 	31464	98275
