input file for CPIfromDF
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,19.32, unit cell mass,196.97
Amplitue	Gamma(eV)	Omega(eV) 
-5.00E-03	3.465	1.593
-4.55E-03	1.991	1.686
5.43E-04	0.159	1.954
-2.85E-02	2.206	2.007
-1.41E-02	0.876	2.147
-3.88E-04	0.097	2.209
-7.60E-04	0.107	2.296
5.53E-03	0.199	2.516
1.63E-02	0.445	2.631
2.63E-03	0.385	2.919
8.19E-03	0.815	3.202
8.68E-03	0.847	3.569
-1.67E-03	0.993	3.883
3.35E-03	0.839	5.127
3.66E-02	2.375	6.4
-3.04E-03	1.167	7.461
1.63E-01	10.172	11.955
-1.47E-03	1.038	12.302
2.81E-03	1.9	14.094
8.66E-02	5.738	16.006
6.18E-03	2.224	17.439
-1.80E-03	2.161	19.615
5.93E-02	4.877	25.049
4.47E-03	1.701	26.129
-6.40E-04	0.489	27.025
-2.56E-03	2.322	30.068
1.72E-03	1.693	32.785
1.99E-02	5.116	33.791
5.25E-01	24.722	38.699
1.09E-02	6.024	46.302
-3.94E-03	7.217	57.324
1.70E-01	36.587	64.294
-2.12E-03	6.575	72.859
8.20E-05	1.102	85.215
6.68E-03	17.059	98.872
-1.16E-03	18.17	121.385
-2.48E-03	40.476	151.561
-2.05E-04	24.105	180.228
2.05E-03	114.383	238.63
2.44E-02	737.41	380.783
-1.07E-04	42.315	393.089
2.67E-04	67.75	465.327
9.20E-05	24.641	498.395
-3.39E-04	105.485	567.247
-5.80E-05	258.335	1231.576
-3.70E-05	540.88	1704.166
-2.60E-05	372.026	2057.188
3.70E-05	490.175	2505.158
3.60E-05	973.314	2799.702
5.70E-05	2436.594	3590.792
