input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,2.26, unit cell mass,12
Amplitue	Gamma(eV)	Omega(eV) 
1.02E-02	0.457	0.012
8.42E-02	1.632	0.054
1.11E-02	0.438	0.063
-5.97E-02	2.624	0.081
8.17E-02	0.743	0.132
-3.45E-02	2.464	0.294
5.38E-02	33.828	0.325
-4.24E-02	0.992	0.442
1.40E-03	0.421	0.685
1.56E-03	0.002	1.359
1.33E-01	20.725	2.01
2.06E-01	4.988	3.466
6.34E-02	3.274	3.674
6.00E-03	0.981	4.044
1.12E-01	2.401	5.763
-3.46E-01	7.68	5.824
2.38E-01	4.267	5.883
6.18E-06	0.004	6.801
-1.87E-01	6.193	7.488
1.83E-01	5.917	8.957
-1.86E-01	7.327	9.249
-2.28E-01	15.96	21.993
2.68E-02	7.061	24.735
9.62E-01	16.971	27.095
1.64E-03	5.592	38.444
-3.69E-04	3.051	45.048
1.45E-03	4.053	48.875
-9.53E-03	5.219	49.693
-1.58E-03	2.391	49.908
7.89E-03	3.981	50.122
1.67E-02	34.78	52.507
4.59E-06	8.917	229.565
9.62E-06	12.288	236.584
-3.21E-04	64.441	239.572
-4.35E-05	16.744	262.652
-5.54E-05	11.855	273.275
-6.75E-05	7.113	280.777
3.28E-04	16.589	294.482
3.72E-05	9.946	307.307
5.74E-04	44.864	320.524
1.01E-04	35.961	352.394
6.98E-04	123.566	387.525
4.50E-04	304.462	516.323
2.93E-08	0.291	677.128
