input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,4.82 unit cell mass,144.5
Amplitue	Gamma(eV)	Omega(eV)
9.18E-02	0.0014	0.037
2.62E-03	0.0007	0.042
6.71E-04	0.0012	0.05
-5.50E-04	9.209	1.417
-1.94E-03	0.331	2.084
2.59E-02	6.242	2.793
2.64E-02	1.637	3.377
7.65E-04	0.573	4.061
3.02E-02	1.175	6.609
-2.54E-01	17.499	7.806
-8.38E-02	5.331	9.078
1.11E-01	2.17	10.495
4.04E-02	5.591	13.383
-1.16E-02	7.361	20.818
9.11E-01	34.054	23.975
-3.62E-03	2.809	37.337
-6.37E-02	15.251	39.606
-1.56E-02	23.947	71.071
1.29E-02	26.342	71.101
1.56E-02	29.209	71.154
-2.87E-03	55.973	131.761
2.98E-04	12.492	172.63
-2.50E-04	13.284	173.178
8.45E-04	58.794	180.261
9.53E-04	134.402	242.942
-5.10E-04	49.266	434.393
4.69E-04	55.067	443.668
3.95E-04	81.566	463.526
-1.50E-04	47.356	466.215
8.01E-04	530.519	627.236
