input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,8.86, unit cell mass,58.93
Amplitue	Gamma(eV)	Omega(eV) 
9.05E-03	9.913	0.185
-3.46E-02	2.515	7.069
9.75E-02	3.287	8.627
-2.57E-02	5.29	9.575
-6.41E-03	0.534	10.159
-1.62E-01	39.083	12.639
1.14E-01	5.316	12.867
-2.30E-02	2.17	12.91
-1.64E-01	10.077	14.766
1.50E-01	13.03	19.263
6.24E-03	2.753	22.693
1.52E-02	8.812	37.472
-1.51E-02	7.034	38.968
9.23E-01	128.422	47.582
3.65E-04	3.436	48.876
-2.61E-01	27.481	59.535
-1.73E-01	6.565	60.672
1.68E-01	6.298	60.79
2.23E-01	23.727	61.785
1.42E-03	5.775	102.266
-6.62E-04	6.622	105.609
8.35E-04	15.372	131.626
-2.99E-04	8.473	170.246
-4.13E-04	493.503	691.107
-1.39E-04	76.22	746.123
7.74E-05	32.359	783.398
5.44E-04	192.647	836.373
2.18E-04	202.363	1001.679
4.33E-05	198.211	1206.646
7.41E-05	300.098	1331.96
3.49E-05	334.681	1672.419
