input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,1.93, unit cell mass,132.9
Amplitue	Gamma(eV)	Omega(eV) 
-5.56E-02	1.117	2.302
8.42E-01	0.942	3.149
3.12E-01	4.074	5.355
-2.71E-01	14.964	5.874
-6.20E-02	9.525	9.311
-6.68E-02	4.893	11.602
-1.18E-02	2.284	11.678
5.15E-02	5.755	11.973
1.07E-02	2.073	12.217
2.38E-01	11.616	18.417
-3.66E-03	33.446	50.697
-1.11E-03	15.655	70.83
6.70E-03	24.007	95.273
1.01E-03	30.488	105.847
5.88E-03	23.646	109.902
1.23E-03	18.757	124.274
-3.54E-04	48.818	171.636
-1.52E-04	120.141	243.44
5.33E-04	214.394	290.392
7.77E-05	249.525	416.212
-4.41E-05	146.96	656.212
1.54E-05	57.145	800.31
2.38E-04	569.308	876.029
1.53E-04	1386.201	1527.808
-9.05E-05	1383.73	1665.345
