input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,8.96, unit cell mass,63.54
Amplitue	Gamma(eV)	Omega(eV)
-3.26E-03	0.527	1.492
-6.12E-02	2.717	1.893
-1.49E-02	0.573	1.971
2.87E-05	0.009	2.2
4.32E-03	0.321	2.265
-2.97E-04	0.084	3.204
6.01E-04	0.09	3.445
1.76E-05	0.013	3.6
1.00E-02	1.076	4.093
-9.45E-05	0.235	4.848
1.76E-04	0.207	5.449
-3.53E-02	2.028	5.528
-3.86E-04	0.324	6.149
1.87E-02	1.901	7.319
7.22E-02	4.749	9.919
-8.46E-04	1.252	13.913
1.22E-02	3.504	17.006
1.29E-01	7.409	19.741
-1.54E-02	4.353	24.412
9.64E-02	7.29	28.21
8.97E-03	8.791	37.384
4.23E-03	10.701	48.937
7.51E-01	166.28	53.275
-3.24E-04	4.09	57.397
7.39E-04	4.888	62.275
-2.44E-03	8.93	73.129
-4.47E-04	5.477	83.616
1.01E-02	16.703	83.752
1.53E-02	52.598	121.36
1.04E-03	35.309	174.499
1.23E-03	68.826	241.621
-4.28E-04	776.304	710.928
-5.09E-05	110.963	893.71
1.49E-04	138.661	1007.673
2.08E-05	82.378	1081.688
8.26E-05	166.088	1136.469
1.84E-04	370.044	1288.311
1.84E-05	365.072	1709.853
1.80E-04	1249.763	2123.531
3.30E-05	948.765	2847.736
