input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,8.795, unit cell mass,167.26
Amplitue	Gamma(eV)	Omega(eV)
-5.70E-02	5.121	0.196
8.34E-02	3.942	0.848
-4.07E-02	19.691	1.424
-7.33E-02	10.126	1.66
-4.42E-04	0.026	2.49
6.39E-02	7.436	2.832
-1.40E-01	2.995	2.977
3.22E-03	0.003	3.667
2.16E-03	0.047	4.036
-3.23E-02	4.014	4.199
-6.81E-03	0.032	4.25
-3.44E-02	4.778	4.355
-1.64E-03	0.032	4.42
1.09E-02	0.014	4.52
2.15E-02	0.002	4.581
-2.36E-03	0.057	4.687
6.36E-03	0.11	4.737
-2.20E-03	0.067	4.805
6.81E-03	0.019	4.955
1.17E-01	4.192	5.251
-4.08E-03	0.01	5.337
2.85E-04	0.013	5.343
2.04E-02	6.125	14.071
-8.67E-02	12.584	15.686
2.92E-02	7.818	17.635
-1.42E-02	8.361	24.95
2.70E-01	19.108	27.399
9.94E-01	67.675	28.412
-1.00E-01	12.562	30.631
-1.23E-02	18.522	73.359
1.28E-02	18.1	74.318
-2.40E-02	20.972	88.273
1.82E-02	18.416	89.03
1.02E-02	14.649	166.421
-2.43E-02	19.023	167.992
1.42E-02	19.749	171.596
1.63E-02	445.854	261.796
-5.50E-05	226.791	1097.88
9.64E-05	432.869	1520.53
1.47E-04	1454.865	1737.811
4.76E-05	1692.128	2722.379
2.89E-07	690	6796.931
4.91E-08	654	6853.514
