input file for Chapidif
Dielectric function model: Mermin
ELF reference: # Scientific Reports volume 13, Article number: 12480 (2023) #
density,7.86, unit cell mass,55.85
Amplitue	Gamma(eV)	Omega(eV)
-0.0050700	2.0213	1.4040
-0.0011900	3.8290	1.4388
-0.0010000	1.0020	1.6040
-0.0075400	3.5290	1.9559
-0.0010300	1.0000	2.0000
0.0039100	1.8034	2.4920
-0.030000	2.8951	3.1544
-0.027500	3.1380	3.2530
0.0057100	2.7227	4.6940
0.0055800	2.2586	5.1561
0.0020000	1.3280	6.7354
0.0011000	1.3280	6.9578
0.0074800	2.3687	8.4716
0.0014200	2.3687	8.4862
0.020140	10.551	9.6592
0.016980	4.0560	10.094
0.011780	4.3295	10.741
0.028110	11.451	10.936
0.0038700	3.5410	12.386
0.0032500	1.5187	13.768
0.0068600	2.2600	15.689
0.0015100	1.6220	16.588
0.0094700	2.3128	16.914
-0.00036834	1.3128	16.985
-0.0032100	2.3028	17.315
0.020500	4.5720	17.827
0.029530	5.5537	18.019
-0.0010400	1.9163	19.092
0.00075000	1.5000	19.300
-0.0026600	1.7690	19.345
0.030830	7.4643	21.068
0.043000	6.6138	21.604
0.055310	6.3220	22.944
0.0094500	3.5987	23.030
0.031080	7.3936	23.483
-0.00054759	3.0000	24.130
0.011010	3.4060	24.159
0.020600	5.1316	25.837
0.022880	5.5187	26.061
0.0029000	12.461	36.041
-0.023730	9.2701	36.398
-0.025540	8.5130	36.852
0.00075000	3.0000	37.009
0.32400	39.937	37.479
0.33007	44.033	37.883
0.0010000	12.831	38.027
-0.00054101	228.23	43.097
-0.00040283	5.3527	44.430
-0.029020	13.108	45.250
-0.034250	13.472	45.250
-0.037800	10.566	53.267
0.026800	6.9504	54.242
-0.066130	10.402	54.391
0.010140	3.2000	56.020
0.0038400	2.0056	56.522
0.0056500	3.3858	57.400
0.00089698	3.4790	57.507
0.0051500	6.0790	58.207
0.0027300	3.4790	58.635
-2.6830e-05	1.0562	59.554
0.0050700	5.4124	59.912
-0.0010500	5.2990	63.354
-0.00055346	3.0000	63.409
0.033000	15.299	64.104
0.030210	16.861	64.375
-0.017540	12.453	65.735
0.0024800	5.0000	67.706
0.0048600	16.705	69.368
-0.037500	13.874	69.556
0.0015000	18.238	70.428
0.0049500	6.8957	70.775
0.013360	18.517	71.078
-0.019000	21.923	71.540
0.0010000	18.989	72.168
-0.021140	24.645	73.477
0.0042500	15.227	73.757
0.0098000	21.339	74.152
0.0020000	15.582	74.157
0.00075000	7.0000	74.350
0.046430	48.848	75.448
0.00053922	173.33	79.317
0.0085000	173.33	81.143
-0.0055000	34.921	81.507
0.0010000	9.5220	81.632
0.0010000	33.196	82.214
-0.0074000	14.637	84.210
-0.0014400	10.000	86.351
0.0020500	10.528	87.230
0.026870	48.848	87.687
-9.5945e-05	6.0280	89.530
-0.00019595	10.028	91.500
0.00055178	7.9280	93.077
-0.00092175	9.4874	94.086
0.069500	230.69	94.772
0.0010000	94.904	96.761
0.0010000	23.660	97.202
0.0010600	22.611	97.367
0.00043857	94.133	97.637
0.0033900	53.564	100.76
0.0035000	55.837	100.76
0.068700	230.69	101.57
-0.017180	51.802	103.92
5.0000e-06	4.5030	106.12
5.0000e-05	123.70	110.86
0.00055000	43.636	125.49

