input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,5.32, unit cell mass,72.64
Amplitue	Gamma(eV)	Omega(eV)
3.79E-04	4.705	0.437
-6.61E-03	2.175	2.507
6.39E-03	1.321	2.818
1.32E-01	4.43	3.898
-6.14E-03	3.985	4.558
6.50E-03	1.439	5.231
-2.47E+00	16.067	9.079
2.36E-02	2.582	10.111
1.10E-02	4.505	17.037
3.18E+00	45.282	17.911
-1.15E-02	3.862	21.017
3.79E-03	2.954	25.536
-2.72E-03	1.616	28.639
-4.63E-01	16.394	30.468
2.21E-01	11.631	31.227
-3.36E-02	30.306	50.242
3.82E-02	225.824	148.646
-1.05E-03	45.933	184.329
-1.79E-04	78.705	216.288
-2.83E-05	45.79	403.501
1.07E-03	480.055	437.024
