input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,1.738, unit cell mass,24.3
Amplitue	Gamma(eV)	Omega(eV)
4.30E-03	2.485	4.083
-1.36E-03	0.643	5.472
-8.44E-03	3.665	5.62
-1.16E-01	6.713	5.89
-3.55E-01	2.31	10.118
8.69E-01	1.069	10.845
3.06E-01	3.613	12.029
2.56E-01	15.143	14.662
-1.01E-02	12.256	29.89
9.66E-04	3.134	43.545
-1.28E-03	2.384	47.821
-2.65E-01	15.035	48.033
2.54E-01	15.075	48.45
2.79E-03	8.223	70.89
-7.55E-04	6.944	80.713
1.29E-01	88.405	97.256
-9.32E-02	56.235	107.469
3.94E-02	38.145	108.561
