input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,8.57, unit cell mass,92.9
Amplitude	Gamma(eV)	Omega(eV) 
3.26E-02 	1.337	2.14
1.02E-01 	3.601	4.389
-1.12E-01 	5.435	5.572
-1.31E-01 	32.136	10.168
2.09E-01 	3.127	10.354
-1.44E-01 	2.683	10.53
-1.01E-01 	6.562	16.243
1.06E-01 	7.502	17.923
1.91E-01 	5.062	21.038
-3.39E-01 	21.388	32.049
7.84E-01 	65.986	40.525
3.87E-01 	35.393	50.337
1.72E-02 	4.959	52.02
-1.61E-01 	36.643	65.283
-2.18E-02 	73.112	123.792
3.55E-04 	10.49	132.36
8.82E-04 	2.727	151.587
3.45E-04 	1.51	199.655
-2.01E-03 	52.284	199.872
9.82E-04 	93.557	296.935
9.33E-03 	454.478	394.556
-7.96E-06 	356.223	2093.371
-9.31E-07 	80.609	2251.248
8.64E-06 	229.22	2510.795
2.29E-05 	792.551	2902.679
6.99E-06 	1354.44	3932.849
