input file for Chapidif
Dielectric function model: Mermin
ELF reference: #Ni  Scientific Reports volume 13, Article number: 12480 (2023) #
density,8.9, unit cell mass,58.7
Amplitue	Gamma(eV)	Omega(eV)
0.00062440	0.49900	1.0025
-0.030068	2.0277	1.4411
-0.012593	1.4585	1.7411
-0.013493	1.4585	1.7773
-0.00053391	0.85760	2.0928
-0.0020339	0.85760	2.6928
0.0016044	0.80620	3.9825
-0.0036044	3.1062	3.9825
-0.0016044	2.1062	4.0825
-0.015890	3.2750	6.0828
0.0066530	2.8255	6.5661
0.0035265	2.8255	7.0661
-0.00011760	0.57970	10.700
-0.0025000	3.0025	12.030
-0.0016459	1.9025	12.530
0.00054806	4.2962	13.800
0.00050000	2.4507	14.030
9.8064e-05	3.3962	14.100
-0.081096	6.4481	15.580
0.0070481	6.4481	16.180
0.018784	7.3250	18.821
-9.8435e-05	6.5117	19.349
0.019575	6.5561	19.844
0.00077844	5.0117	19.849
-0.0036082	2.6634	22.947
-0.0030482	2.1096	23.312
0.80466	31.254	23.851
0.015036	9.1792	24.433
0.015036	7.3792	24.633
-0.00022255	2.1396	26.207
0.013843	6.0358	27.407
0.019122	6.3417	27.407
0.012480	4.8007	28.778
0.026160	6.2104	31.515
0.00091785	3.6448	32.262
0.00091785	3.6743	32.816
0.017080	19.593	35.007
0.0012874	10.138	35.722
0.0053200	4.7834	36.050
0.00054230	3.1382	36.591
0.00028125	2.6583	37.458
0.0098200	6.1969	39.721
0.0034466	21.578	41.971
0.00075000	5.0000	44.000
0.00092693	4.9461	44.000
0.0012672	6.9280	45.028
0.00050000	3.3905	46.958
0.00053305	10.882	49.264
0.00053305	11.335	49.264
0.00055176	5.9702	50.433
0.00015176	8.9702	50.433
0.0034073	9.9868	50.477
0.0034073	9.3235	50.477
0.00035351	2.9702	53.243
0.00017894	3.2754	55.710
0.00018156	11.794	56.921
0.00033894	12.175	56.921
0.0013942	7.9506	58.001
-0.00058267	7.9636	60.514
-0.0010827	8.9636	60.514
-0.00045095	10.668	61.804
0.00055274	5.0303	62.644
0.00039774	6.7928	62.644
0.00022774	3.0303	63.800
-0.0034986	5.0147	64.998
-0.0046736	6.0582	65.488
-0.0030078	5.2501	66.205
-0.0030078	5.4689	66.205
0.0056390	4.3662	67.507
0.0055652	4.5638	67.607
0.017620	17.449	67.981
0.00020578	3.8405	69.338
0.00030151	3.6646	71.029
0.00030039	3.5405	71.338
0.00025651	3.6646	73.029
0.00027651	3.5499	73.029
0.0040700	9.5646	75.729
0.0012847	11.565	78.821
0.0016423	10.565	78.821
0.0079500	16.229	85.842
0.00094358	158.69	91.588
-0.00025000	8.4024	91.758
-0.00050001	16.215	92.280
-5.0000e-05	4.0024	95.458
-7.5009e-05	5.8213	97.025
0.0040400	21.310	98.264
0.00034745	258.49	99.089
0.0047600	18.956	99.911
0.00089266	22.448	99.999
2.0942e-05	10.840	100.00
0.00019086	8.9277	100.00
-0.00075398	29.622	100.00
0.00060898	24.268	100.00
-0.0027600	10.347	100.50
5.5234e-05	4.5001	110.05
0.00035222	9.5063	121.00
0.00052222	24.120	122.00
5.2421e-05	4.1201	125.30
0.00022194	15.000	135.50
0.00038889	20.116	140.00
0.12128	256.07	148.85
-0.00044524	25.540	165.00
0.00025499	30.343	180.00
4.7879e-05	146.99	672.18
