input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,11.9, unit cell mass,106.42
Amplitue	Gamma(eV)	Omega(eV)
-9.19E-03	2.819	0.316
-5.95E-03	1.518	1.19
9.77E-02	2.47	8.022
2.70E-01	11.691	10.385
-2.96E-01	25.445	13.655
3.37E-02	4.862	16.879
7.58E-04	0.485	16.882
1.12E-02	3.765	26.737
-3.70E-02	33.909	30.999
3.68E-01	20.083	31.031
1.73E-02	7.177	34.674
2.68E-01	11.717	48.058
-3.05E-01	12.104	48.074
-3.98E-03	10.52	56.677
8.16E-01	78.997	61.113
7.19E-03	15.516	72.166
-4.16E-02	28.484	93.941
-1.31E-02	44.522	116.539
-1.84E-02	42.86	122.873
7.62E-03	26.523	126.104
-7.23E-03	57.95	126.392
-5.57E-03	98.015	128.396
1.53E-04	12.308	144.289
-3.50E-02	185.927	149.125
4.52E-03	248.013	430.327
7.66E-04	131.832	542.242
