input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,21.45, unit cell mass,195.08
Amplitue	Gamma(eV)	Omega(eV)
-0.0031000	0.32400	0.35400
0.0021100	0.20200	0.57600
-0.17900	8.0390	4.9640
-0.00075000	0.50200	5.9980
-0.00041600	0.29000	6.0350
0.00050400	0.57100	6.0760
0.0011300	0.36800	6.3240
0.095100	2.6940	6.6710
-0.11500	3.4340	6.9730
0.11100 	11.192	7.0080
-0.00068900	0.51100	7.2150
0.00015600	0.25100	7.9860
-0.00072600	0.61300	8.6350
0.00012100	0.25000	9.0080
-0.018300	2.5130	9.9170
-0.00023600	0.35000	12.080
0.00050500	0.35400	12.626
-0.00012200	0.19200	13.232
0.082500	6.5260	16.881
-0.46000	15.487	18.724
0.030600	4.5270	25.794
0.010400	4.0640	28.456
0.00091200	0.93500	28.815
0.0053300	1.7720	32.648
0.12600 	7.6810	33.781
1.4400  	72.055	39.186
-0.028700	9.2100	45.986
-0.0065200	3.0380	49.378
0.00093000	1.8360	51.798
0.014500	9.1700	53.905
-0.015200	43.274	120.47
0.023600	600.97	377.45
