input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density, 2.65, unit cell mass,60.08
Amplitue	Gamma(eV)	Omega(eV)
6.60E-02	0.007	0.064
8.36E-03	0.01	0.101
-4.33E-03	0.004	0.113
7.62E-02	0.008	0.152
4.18E-03	1.054	0.324
2.31E-03	1.485	0.401
2.70E-03	3.056	0.709
2.99E-02	12.548	1.196
-7.86E-04	0.569	1.432
1.10E-02	2.616	2.127
2.99E-03	1.499	3.216
2.29E-02	102.275	3.512
-1.81E-02	3.218	6.694
2.43E-02	37.32	7.129
-1.60E-02	2.682	8.253
2.11E-02	37.337	8.441
-4.85E-02	3.113	9.873
6.00E-03	0.345	10.594
-1.26E-01	31.735	11.634
-5.29E-03	0.98	13.573
4.91E-02	5.058	14.246
-5.65E-02	4.646	16.392
6.14E-02	8.823	17.558
3.64E-04	0.897	17.929
4.55E-01	13.89	23.451
-1.04E-02	2.327	23.481
7.73E-02	1.915	24.234
-5.24E-02	1.579	24.255
4.38E-03	5.716	29.783
1.90E-01	66.019	45.286
-2.11E-03	17.298	66.38
-3.28E-03	20.171	94.781
-5.76E-04	20.379	101.737
2.71E-03	22.606	114.996
1.16E-04	8.012	118.926
-7.07E-03	30.287	122.203
1.38E-03	49.854	126.705
3.13E-03	20.231	128.601
3.60E-03	88.235	155.939
1.19E-03	199.275	215.98
-2.75E-05	136.887	449.793
3.82E-05	53.6	584.93
5.43E-05	136.588	661.296
3.51E-05	309.556	858.505
1.37E-07	43.189	1325.08
8.95E-06	749.384	2161.14
9.95E-07	962.196	2961.313
5.90E-07	1774.681	3646.179
