input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,2.329, unit cell mass,28.08
Amplitue	Gamma(eV)	Omega(eV)
3.04E-04	12.113	0.475
9.85E-04	3.372	1.704
4.31E-03	3.101	1.944
7.22E-03	2.806	1.949
8.89E-03	2.369	2.367
-3.67E-02	3.726	2.795
1.57E-03	0.003	3.033
-1.55E-03	0.454	3.034
8.12E-03	4.135	3.096
7.09E-03	4.939	3.705
-3.97E-03	0.796	4.499
-3.00E-02	9.555	4.771
1.02E-02	2.694	5.167
5.33E-03	4.373	6.259
-9.52E-03	4.01	6.634
-2.49E-03	5.07	7.048
-6.49E-02	6.801	12.004
1.40E-01	3.057	15.504
9.33E-01	4.194	17.105
-1.24E-01	8.526	21.344
5.53E-03	28.733	41.575
3.52E-03	9.162	109.415
-3.08E-03	17.922	110.687
-5.00E-02	60.384	116.906
2.41E-02	37.901	118.005
3.58E-02	88.534	133.429
9.76E-03	193.746	189.936
-2.81E-05	678.003	858.974
-3.32E-07	1349.993	1069.408
-3.18E-06	445.757	1358.594
1.79E-06	176.91	1642.83
5.20E-07	245.789	1670.245
-6.95E-06	276.871	1674.216
6.22E-06	250.318	1920.397
1.36E-06	320.166	2045.059
1.62E-06	345.958	2147.801
9.69E-06	1333.226	2499.758
