input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,6.23 unit cell mass,126.6
Amplitue	Gamma(eV)	Omega(eV)
1.33E-02	0.001	0.013
1.41E-02	2.664	0.685
-8.90E-04	0.311	0.81
4.71E-04	0.149	1.139
-1.57E-02	11.835	1.467
4.76E-03	1.182	2.944
1.14E-01	1.63	4.845
-3.92E-02	1.133	8.689
5.23E-02	1.509	8.884
3.40E-02	1.154	9.166
-5.50E-02	1.185	9.585
5.96E-02	0.989	10.039
-3.66E-01	12.375	10.177
-8.97E-02	1.297	10.611
8.09E-02	1.091	10.959
-9.34E-02	1.214	11.678
7.83E-02	1.162	11.938
-7.97E-02	3.052	12.752
5.23E-02	2.301	12.796
6.74E-04	0.263	17.027
-8.73E-03	1.059	18.827
3.14E-01	5.299	18.899
-1.55E-01	23.45	20.152
-5.64E-03	1.196	21.668
1.33E+00	20.732	24.679
7.02E-04	0.332	27.012
2.98E-01	6.519	27.818
-1.60E-01	44.84	45.556
-7.82E-03	8.914	50.98
1.07E-01	59.291	85.902
8.18E-04	9.452	91.064
4.48E-03	13.495	98.921
-4.35E-03	26.438	130.634
-2.78E-03	37.475	152.172
-1.24E-03	54.894	182.632
7.21E-04	174.528	319.604
-2.54E-04	93.569	547.11
6.97E-04	136.152	619.438
5.73E-04	398.71	820.505
1.18E-04	448.758	1092.373
1.04E-04	1244.063	1467.048
3.39E-06	1042.001	5089.066
