input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,4.09 unit cell mass,97.47
Amplitue	Gamma(eV)	Omega(eV)
5.71E-02	0.001	0.044
6.60E-03	2.869	1.867
-2.59E-01	39.657	15.225
1.25E-01	5.77	16.617
2.65E-02	3.202	17.625
2.23E-02	1.627	18.884
6.56E-01	21.916	22.349
-6.63E-02	20.747	37.161
1.97E-01	217.749	73.235
-4.57E-03	30.052	88.946
-1.46E-03	34.607	120.853
-1.11E-03	26.78	140.914
-5.30E-04	14.537	159.297
3.57E-04	10.733	169.72
1.28E-04	13.142	178.319
1.08E-03	50.758	187.51
2.73E-03	198.923	228.731
-3.65E-04	769.948	615.692
-3.07E-05	210.281	968.732
1.59E-05	54.562	1050.386
4.59E-05	184.393	1128.657
1.24E-05	198.037	1286.316
8.18E-05	947.62	1453.952
7.79E-07	158.611	2593.805
4.47E-06	1143.481	3007.26
