input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,5.27 unit cell mass,144.35
Amplitue	Gamma(eV)	Omega(eV)
4.23E-02	0.003	0.031
1.37E-02	0.549	3.378
-9.53E-03	1.053	3.672
2.14E-03	0.14	4.551
6.79E-03	0.331	5.107
-4.63E-03	0.906	5.343
5.44E-03	0.169	5.483
-5.70E-03	0.79	5.747
4.69E-03	0.171	6.026
-4.52E-03	0.448	6.176
-6.64E-04	0.096	6.309
1.89E-02	0.653	6.858
-2.24E-02	1.09	7.511
3.64E-02	0.673	7.965
-2.65E-01	14.146	8.204
-1.16E-01	2.341	9.003
8.46E-02	22.392	9.812
9.26E-03	0.409	10.075
1.00E-01	2.36	10.523
3.71E-02	4.328	11.049
6.45E-03	1.687	11.728
-3.33E-03	0.924	12.581
6.25E-01	10.978	14.547
1.40E-01	14.624	18.001
-7.16E-02	13.505	19.13
3.97E-02	10.057	22.334
3.03E-03	14.879	58.719
-1.89E-03	21.151	77.942
7.06E-04	9.983	106.526
7.48E-02	225.939	129.475
-6.83E-04	12.024	143.685
-9.30E-05	369.844	655.449
5.89E-06	251.186	1011.714
5.24E-05	101.789	1062.878
-2.40E-04	264.555	1074.779
2.04E-04	286.002	1121.869
-2.45E-04	274.48	1440.03
7.95E-05	197.871	1444.466
2.33E-04	375.94	1463.174
1.79E-05	396.649	1853.321
