input file for Chapidif
Dielectric function model: Mermin
ELF reference: # http://micro.ustc.edu.cn/ELF/ELF.html #
density,6.34 unit cell mass,193.01
Amplitue	Gamma(eV)	Omega(eV)
3.03E-04	0.473	0.51
9.82E-04	1.33	0.58
-2.87E-02	4.097	2.212
2.41E-02	1.764	4.054
-9.38E-02	3.519	4.075
1.98E-02	3.407	5.462
-2.79E-02	1.963	5.47
-1.83E-02	4.962	5.59
-2.04E-02	5.195	7.321
1.84E-02	4.84	7.978
1.26E-01	3.256	8.648
2.82E-03	1.178	10.367
-2.20E-02	3.771	12.288
6.96E-03	2.244	20.164
8.31E-01	28.318	25.4
-5.86E-03	3.614	37.462
-5.64E-02	17.527	39.407
8.98E-02	72.378	90.738
5.91E-03	14.94	91.037
3.59E-04	3.645	113.484
-1.08E-02	45.492	123.034
2.46E-04	3.189	137.486
-1.74E-03	18.727	140.116
9.93E-04	20.64	175.122
-9.23E-04	19.208	175.244
9.37E-04	138.039	250.733
-3.51E-04	148.164	515.665
-6.88E-05	27.589	554.111
3.15E-04	64.112	602.014
1.43E-03	593.086	642.262
-4.71E-05	245.188	1033.738
8.47E-05	314.731	1115.103
3.83E-05	621.946	1149.451
8.36E-05	939.474	1291.122
3.79E-03	17.052	3310.386
