input file for Chapidif
Dielectric function model: Mermin
ELF reference:Novak et al J elec spec rel phen 163 7 2008
density,5.323, unit cell mass,72.64
Amplitude	Gamma(eV)	Omega(eV) 
0.0001224 	0.06825	0.1
0.000124 	0.06825	0.1525
0.0001271 	0.06996	0.2063
0.0001304 	0.07171	0.2615
0.0001337 	0.0735	0.318
0.0001371 	0.07534	0.376
0.0001407 	0.07722	0.4354
0.0001444 	0.07915	0.4962
0.0001482 	0.08113	0.5586
0.0001521 	0.08316	0.6226
0.0001562 	0.08523	0.6882
0.0001604 	0.08737	0.7554
0.0001648 	0.08955	0.8243
0.0001694 	0.09179	0.8949
0.0001742 	0.09408	0.9672
0.0001793 	0.09644	1.041
0.0001846 	0.09885	1.117
0.0001903 	0.1013	1.195
0.0001963 	0.1039	1.275
0.0002029 	0.1064	1.357
0.0002101 	0.1091	1.441
0.0002182 	0.1118	1.527
0.0002276 	0.1146	1.615
0.000239 	0.1175	1.706
0.0002541 	0.1204	1.798
0.0002766 	0.1234	1.893
0.0003193 	0.1265	1.991
0.0004304 	0.1297	2.09
0.0006172 	0.1329	2.193
0.0006941 	0.1363	2.297
0.0008637 	0.1397	2.405
0.0009808 	0.1432	2.515
0.001015 	0.1467	2.628
0.001065 	0.1504	2.744
0.001073 	0.1542	2.862
0.001016 	0.158	2.984
0.0009601 	0.162	3.108
0.0009449 	0.166	3.236
0.0009634 	0.1702	3.367
0.0009836 	0.1744	3.501
0.0009735 	0.1788	3.639
0.0009381 	0.1833	3.78
0.000905 	0.1878	3.924
0.0008615 	0.1925	4.072
0.0007477 	0.1973	4.224
0.0007025 	0.2023	4.38
0.0008108 	0.2073	4.539
0.0009964 	0.2125	4.703
0.001225 	0.2178	4.87
0.001454 	0.2233	5.042
0.001624 	0.2289	5.218
0.001703 	0.2346	5.398
0.001716 	0.2404	5.583
0.001715 	0.2465	5.773
0.001735 	0.2526	5.967
0.001793 	0.2589	6.166
0.001893 	0.2654	6.371
0.002034 	0.272	6.58
0.002205 	0.2788	6.794
0.002392 	0.2858	7.014
0.002581 	0.293	7.24
0.002757 	0.3003	7.471
0.002914 	0.3078	7.707
0.003054 	0.3155	7.95
0.003185 	0.3234	8.199
0.003319 	0.3315	8.454
0.003466 	0.3397	8.715
0.00364 	0.3482	8.983
0.003851 	0.3569	9.258
0.004113 	0.3659	9.539
0.00444 	0.375	9.827
0.004853 	0.3844	10.12
0.005376 	0.394	10.43
0.006042 	0.4039	10.74
0.006896 	0.4139	11.06
0.007995 	0.4243	11.38
0.009412 	0.4349	11.72
0.01123 	0.4458	12.06
0.01351 	0.4569	12.41
0.01631 	0.4683	12.77
0.01963 	0.4801	13.14
0.02348 	0.4921	13.52
0.02798 	0.5044	13.91
0.03344 	0.517	14.3
0.04043 	0.5299	14.71
0.04954 	0.5431	15.13
0.06071 	0.5567	15.56
0.07139 	0.5706	16
0.0752 	0.5849	16.45
0.06732 	0.5995	16.91
0.05223 	0.6145	17.38
0.03765 	0.6299	17.87
0.02673 	0.6456	18.36
0.01927 	0.6618	18.87
0.01426 	0.6783	19.39
0.01085 	0.6953	19.93
0.00848 	0.7126	20.48
0.006792 	0.7305	21.04
0.005561 	0.7487	21.61
0.004645 	0.7674	22.2
0.003949 	0.7866	22.81
0.003412 	0.8063	23.43
0.002994 	0.8264	24.06
