input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y. F. Chen, Surface Science 519 (2002) 115-124 #
Background dielectric constant:1.01
density,10.9, unit cell mass,107.8
Amplitue	Gamma(eV)	Omega(eV) , alpha 
160.000000 	0.050000	0.000000	1.000000
4.000000 	0.800000	4.800000	1.000000
30.000000 	2.200000	5.300000	1.000000
40.000000 	8.000000	6.000000	1.000000
220.000000 	9.000000	14.000000	1.000000
120.000000 	4.380000	22.500000	1.000000
150.000000 	10.000000	31.300000	1.000000
310.000000 	36.000000	40.000000	1.000000
200.000000 	20.000000	45.000000	1.000000
110.000000 	12.000000	55.000000	1.000000
200.000000 	15.000000	68.000000	1.000000
