input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # C. J. Tung, Y. F. Chen, C. M. Kwei, T. L. Chou, Phys. Rev. B49 (1994) 16684 #
Background dielectric constant:1.0
density,19.3, unit cell mass,197.0
Amplitue	Gamma(eV)	Omega(eV) , alpha 
79.000000 	0.100000	0.000000	1.000000
9.000000 	1.000000	3.100000	1.000000
36.000000 	1.900000	4.100000	1.000000
17.000000 	2.300000	5.300000	1.000000
60.000000 	4.000000	8.170000	1.000000
100.000000 	9.000000	12.000000	1.000000
120.000000 	10.000000	14.000000	1.000000
155.000000 	6.000000	21.300000	1.000000
145.000000 	7.200000	29.500000	1.000000
280.000000 	20.000000	38.500000	1.000000
360.000000 	28.000000	63.000000	1.000000
183.000000 	26.000000	100.000000	1.000000
