input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # C. J. Tung, Y. F. Chen, C. M. Kwei, T. L. Chou, Phys. Rev. B49 (1994) 16684 #
Background dielectric constant:1.05
density,8.96, unit cell mass,63.54
Amplitue	Gamma(eV)	Omega(eV) , alpha 
64.000000 	0.030000	0.000000	1.000000
6.000000 	0.300000	0.300000	1.000000
6.500000 	0.650000	2.500000	1.000000
5.500000 	0.700000	3.100000	1.000000
4.000000 	0.700000	3.700000	1.000000
55.000000 	2.600000	5.050000	1.000000
42.000000 	4.760000	8.930000	1.000000
172.000000 	10.180000	14.740000	1.000000
80.000000 	8.000000	25.600000	1.000000
240.000000 	32.000000	40.000000	1.000000
90.000000 	30.000000	55.000000	1.000000
85.000000 	30.000000	65.000000	1.000000
200.000000 	25.000000	83.000000	1.000000
500.000000 	65.000000	120.000000	1.000000
664.000000 	160.000000	200.000000	1.000000
