input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # C. J. Tung, Y. F. Chen, C. M. Kwei, T. L. Chou, Phys. Rev. B49 (1994) 16684 #
Background dielectric constant:1.12
density,7.87, unit cell mass,55.84
Amplitue	Gamma(eV)	Omega(eV) , alpha 
40.000000 	0.118000	0.000000	1.000000
30.000000 	2.000000	0.450000	1.000000
50.000000 	4.000000	1.500000	1.000000
130.000000 	6.000000	3.200000	1.000000
10.000000 	2.000000	6.040000	1.000000
41.400000 	4.800000	9.560000	1.000000
28.000000 	3.200000	12.900000	1.000000
300.000000 	18.000000	20.000000	1.000000
60.000000 	30.000000	48.000000	1.000000
190.000000 	10.000000	58.000000	1.000000
993.000000 	100.000000	84.000000	1.000000
