input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y.H. Tu, C.M. Kwei, C.J. Tung, Surface Science 601 (2007) 865-870
Background dielectric constant:1.05
density,5.32, unit cell mass,144.64
Amplitue	Gamma(eV)	Omega(eV) , alpha 
2.080000 	0.100000	2.920000	1.000000
25.970000 	0.610000	3.160000	1.000000
31.900000 	1.200000	3.840000	1.000000
58.800000 	0.700000	4.600000	1.000000
17.000000 	0.350000	4.900000	1.000000
10.000000 	1.000000	5.600000	1.000000
43.440000 	2.420000	6.700000	1.000000
48.000000 	10.300000	11.100000	1.000000
5.600000 	2.800000	11.500000	1.000000
1.500000 	2.000000	21.000000	1.000000
5.000000 	3.200000	21.800000	1.000000
15.000000 	29.300000	30.000000	1.000000
25.000000 	36.700000	37.000000	1.000000
40.000000 	38.200000	39.000000	1.000000
