input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y.H. Tu, C.M. Kwei, C.J. Tung, Surface Science 601 (2007) 865-870
Background dielectric constant:1.35
density,6.15, unit cell mass,83.73
Amplitue	Gamma(eV)	Omega(eV) , alpha 
3.900000 	0.900000	3.980000	1.000000
87.000000 	2.200000	6.980000	1.000000
33.000000 	6.000000	7.000000	1.000000
25.000000 	1.600000	8.700000	1.000000
56.000000 	3.000000	9.800000	1.000000
13.000000 	3.000000	10.500000	1.000000
28.000000 	1.800000	11.200000	1.000000
79.000000 	2.500000	12.800000	1.000000
33.000000 	3.000000	13.200000	1.000000
30.000000 	3.000000	14.800000	1.000000
49.000000 	4.400000	17.300000	1.000000
1.200000 	3.200000	19.900000	1.000000
3.600000 	1.800000	21.300000	1.000000
23.000000 	2.000000	22.800000	1.000000
12.000000 	3.000000	25.000000	1.000000
160.000000 	4.100000	29.000000	1.000000
