input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y.H. Tu, C.M. Kwei, C.J. Tung, Surface Science 601 (2007) 865-870
Background dielectric constant:1.05
density,4.14, unit cell mass,100.7
Amplitue	Gamma(eV)	Omega(eV) , alpha 
3.400000 	2.000000	2.890000	1.000000
12.500000 	0.200000	3.730000	1.000000
34.000000 	0.900000	4.020000	1.000000
40.900000 	0.800000	4.800000	1.000000
58.700000 	0.700000	5.100000	1.000000
10.000000 	2.000000	5.450000	1.000000
40.000000 	1.700000	6.800000	1.000000
45.000000 	4.000000	9.800000	1.000000
15.000000 	5.000000	13.200000	1.000000
3.000000 	3.000000	22.000000	1.000000
4.500000 	3.000000	24.000000	1.000000
16.000000 	25.200000	26.000000	1.000000
19.000000 	29.400000	30.000000	1.000000
102.000000 	39.000000	40.000000	1.000000
