input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y.H. Tu, C.M. Kwei, C.J. Tung, Surface Science 601 (2007) 865-870
Background dielectric constant:1.02
density,5.61, unit cell mass,191.48
Amplitue	Gamma(eV)	Omega(eV) , alpha 
3.400000 	0.200000	2.100000	1.000000
23.700000 	0.680000	2.500000	1.000000
38.900000 	1.150000	3.300000	1.000000
28.700000 	0.700000	3.800000	1.000000
27.000000 	0.480000	4.110000	1.000000
7.500000 	0.800000	4.800000	1.000000
8.000000 	0.700000	5.200000	1.000000
5.000000 	0.800000	5.800000	1.000000
15.000000 	1.800000	7.000000	1.000000
28.000000 	3.000000	8.500000	1.000000
3.500000 	2.500000	10.500000	1.000000
1.300000 	1.500000	11.200000	1.000000
10.100000 	5.500000	12.000000	1.000000
1.800000 	1.500000	20.200000	1.000000
1.200000 	1.500000	21.300000	1.000000
6.500000 	3.600000	24.000000	1.000000
30.000000 	30.000000	31.000000	1.000000
40.000000 	35.000000	36.000000	1.000000
50.000000 	38.000000	40.000000	1.000000
