input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y.H. Tu, C.M. Kwei, C.J. Tung, Surface Science 601 (2007) 865-870
Background dielectric constant:1.05
density,5.67, unit cell mass,189.74
Amplitue	Gamma(eV)	Omega(eV) , alpha 
2.300000 	0.200000	2.500000	1.000000
22.500000 	0.760000	2.800000	1.000000
85.000000 	2.600000	4.150000	1.000000
28.700000 	0.460000	4.480000	1.000000
5.000000 	0.900000	4.850000	1.000000
4.000000 	0.600000	5.400000	1.000000
5.000000 	0.600000	6.100000	1.000000
8.000000 	2.000000	6.900000	1.000000
45.000000 	5.900000	8.800000	1.000000
10.000000 	5.500000	19.500000	1.000000
23.000000 	5.000000	23.000000	1.000000
30.000000 	35.000000	32.000000	1.000000
40.000000 	36.800000	38.000000	1.000000
