input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y.H. Tu, C.M. Kwei, C.J. Tung, Surface Science 601 (2007) 865-870
Background dielectric constant:1.02
density,5.78, unit cell mass,236.58
Amplitue	Gamma(eV)	Omega(eV) , alpha 
6.000000 	0.340000	1.890000	1.000000
21.500000 	0.770000	2.400000	1.000000
42.000000 	1.500000	3.350000	1.000000
34.700000 	0.680000	3.850000	1.000000
5.000000 	0.900000	4.180000	1.000000
7.000000 	2.000000	4.530000	1.000000
16.000000 	1.200000	5.230000	1.000000
8.000000 	1.200000	5.960000	1.000000
20.000000 	3.300000	8.500000	1.000000
4.200000 	7.500000	9.500000	1.000000
3.600000 	3.000000	10.200000	1.000000
6.000000 	2.500000	19.800000	1.000000
5.000000 	3.000000	21.000000	1.000000
2.000000 	2.000000	23.500000	1.000000
3.000000 	2.000000	24.500000	1.000000
10.000000 	29.600000	30.000000	1.000000
16.000000 	33.000000	34.000000	1.000000
130.000000 	35.000000	36.000000	1.000000
