input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # C. J. Tung, Y. F. Chen, C. M. Kwei, T. L. Chou, Phys. Rev. B49 (1994) 16684 #
Background dielectric constant:1.0
density,12.02, unit cell mass,106.4
Amplitue	Gamma(eV)	Omega(eV) , alpha 
85.000000 	0.100000	0.000000	1.000000
75.000000 	4.450000	1.300000	1.000000
45.000000 	4.450000	4.300000	1.000000
45.000000 	5.000000	10.700000	1.000000
2.000000 	0.700000	11.800000	1.000000
13.000000 	1.800000	13.650000	1.000000
45.000000 	3.000000	15.000000	1.000000
50.000000 	4.600000	16.800000	1.000000
110.000000 	5.600000	20.500000	1.000000
80.000000 	6.000000	24.200000	1.000000
70.000000 	7.000000	30.600000	1.000000
130.000000 	17.000000	38.000000	1.000000
186.000000 	19.000000	49.000000	1.000000
