input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y. F. Chen, C. M. Kwei, C. J. Tung, Physical Review B, 48 (1993) 4373-4379 #
Background dielectric constant:1.004
density,2.65, unit cell mass,60.0
Amplitue	Gamma(eV)	Omega(eV) , alpha 
6.000000 	0.320000	10.200000	1.000000
15.000000 	1.200000	11.600000	1.000000
10.000000 	1.380000	12.400000	1.000000
38.000000 	2.620000	14.000000	1.000000
51.000000 	3.400000	16.900000	1.000000
110.000000 	7.920000	20.000000	1.000000
45.000000 	9.940000	25.000000	1.000000
41.000000 	10.000000	30.000000	1.000000
33.000000 	9.960000	40.000000	1.000000
70.000000 	16.000000	51.000000	1.000000
63.000000 	25.880000	72.000000	1.000000
16.000000 	11.900000	108.000000	1.000000
58.000000 	29.800000	134.600000	1.000000
170.000000 	119.640000	189.500000	1.000000
