input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Y. F. Chen, Surface Science 519 (2002) 115-124 #
Background dielectric constant:1.06
density,2.33, unit cell mass,28.09
Amplitue	Gamma(eV)	Omega(eV) , alpha 
8.000000 	0.120000	3.420000	1.000000
15.000000 	0.350000	3.520000	1.000000
45.000000 	0.660000	3.800000	1.000000
82.800000 	0.500000	4.250000	1.000000
5.000000 	2.420000	4.550000	1.000000
32.000000 	1.100000	5.340000	1.000000
52.000000 	3.400000	6.400000	1.000000
15.000000 	5.000000	9.400000	1.000000
15.000000 	6.500000	14.000000	1.000000
6.000000 	5.000000	18.400000	1.000000
