input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Wolfgang S.M. Werner, Kathrin Glantschnig and Claudia Ambrosch-Draxl J. Phys. Chem. Ref. Data, Vol. 38, No. 4, 2009,1013-1092 #
Background dielectric constant:1.0
density,10.28, unit cell mass,95.94
Amplitue	Gamma(eV)	Omega(eV) , alpha 
177.026000 	0.027000	0.000000	1.000000
114.090000 	0.524000	1.000000	1.000000
88.761000 	4.861000	5.851000	1.000000
15.378000 	0.971000	11.776000	1.000000
201.505000 	7.273000	14.027000	1.000000
56.547000 	9.627000	21.701000	1.000000
55.356000 	1.915000	36.635000	0.500000
6.902000 	0.500000	34.674000	1.000000
102.001000 	3.448000	39.204000	0.500000
94.912000 	6.078000	42.999000	0.500000
5.742000 	0.534000	46.631000	0.500000
73.906000 	6.630000	49.378000	0.500000
99.885000 	20.637000	56.439000	0.500000
