input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Wolfgang S.M. Werner, Kathrin Glantschnig and Claudia Ambrosch-Draxl J. Phys. Chem. Ref. Data, Vol. 38, No. 4, 2009,1013-1092 #
Background dielectric constant:1.0
density,8.9, unit cell mass,58.69
Amplitue	Gamma(eV)	Omega(eV) , alpha 
32.044000 	0.027000	0.000000	1.000000
127.263000 	0.500000	1.000000	1.000000
44.695000 	1.637000	3.887000	1.000000
111.247000 	7.893000	6.205000	1.000000
13.342000 	2.302000	7.662000	1.000000
237.348000 	10.810000	13.605000	1.000000
83.728000 	8.755000	22.873000	1.000000
160.084000 	32.428000	40.497000	1.000000
4.611000 	0.888000	33.217000	1.000000
86.169000 	1.856000	63.423000	1.000000
1843.468000 	109.458000	79.607000	0.500000
