input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Wolfgang S.M. Werner, Kathrin Glantschnig and Claudia Ambrosch-Draxl J. Phys. Chem. Ref. Data, Vol. 38, No. 4, 2009,1013-1092 #
Background dielectric constant:1.0
density,21.45, unit cell mass,195.08
Amplitue	Gamma(eV)	Omega(eV) , alpha 
179.056000 	0.167000	0.000000	1.000000
2.062000 	0.500000	8.957000	1.000000
1.013000 	0.500000	9.673000	1.000000
7.530000 	0.922000	4.497000	1.000000
16.575000 	0.794000	3.535000	1.000000
486.470000 	55.537000	26.385000	1.000000
367.400000 	11.499000	9.104000	1.000000
121.251000 	4.878000	18.151000	1.000000
36.883000 	3.987000	28.171000	1.000000
18.503000 	36.130000	18.699000	1.000000
12.105000 	5.961000	38.862000	1.000000
3.273000 	25.023000	39.208000	1.000000
14.475000 	0.500000	49.619000	1.000000
87.204000 	5.708000	53.531000	0.500000
421.363000 	47.623000	72.370000	0.500000
