input file for Chapidif
Dielectric function model: Extended Drude
ELF reference: # Wolfgang S.M. Werner, Kathrin Glantschnig and Claudia Ambrosch-Draxl J. Phys. Chem. Ref. Data, Vol. 38, No. 4, 2009,1013-1092 #
Background dielectric constant:1.0
density,19.3, unit cell mass,183.84
Amplitue	Gamma(eV)	Omega(eV) , alpha 
168.042000 	0.027000	0.000000	1.000000
25.499000 	0.500000	3.910000	1.000000
47.450000 	0.860000	2.743000	1.000000
54.304000 	0.500000	1.000000	1.000000
37.884000 	2.455000	6.994000	1.000000
33.401000 	0.825000	5.050000	1.000000
164.222000 	5.984000	11.061000	1.000000
125.085000 	7.690000	16.702000	1.000000
2.868000 	0.629000	22.854000	1.000000
98.371000 	3.124000	38.445000	0.500000
11.144000 	0.948000	41.067000	0.500000
221.850000 	8.855000	48.547000	0.500000
495.516000 	65.131000	80.249000	0.500000
